Version,Nodes,Best accuracy,Recall,Specificity,Precision,Best score
2,512,0.6667,0.6364,0.6923,0.6364,0.7011
2,1024,0.7083,0.6667,0.75,0.7273,0.6567
2,2048,0.75,0.6667,0.8889,0.9091,0.7289
2,4096,0.75,0.6923,0.8182,0.8182,0.6789
3,512,0.6979,0.697,0.7,0.8364,0.6498
3,1024,0.6458,0.6167,0.6944,0.7708,0.6821
3,2048,0.6875,0.7,0.6667,0.7778,0.6608
3,4096,0.75,0.6923,0.8182,0.8182,0.6789
4,512,0.7083,0.7213,0.6857,0.8,0.6784
4,1024,0.6667,0.6379,0.7105,0.7708,0.6955
4,2048,0.7292,0.7917,0.6667,0.7037,0.73
4,4096,0.8333,0.8182,0.8462,0.8182,0.7089
5,512,0.75,0.6923,0.8182,0.8182,0.6767
5,1024,0.7917,0.75,0.8333,0.8182,0.6911
5,2048,0.7083,0.7,0.7143,0.6364,0.7378
5,4096,0.7917,0.8,0.7857,0.7273,0.7178
